Configuration,Language,File Path,Successfully Extracted
/language:javascript-typescript,TypeScript,package/src/components/Channel/hooks/useCreateMessagesContext.ts,true
/language:javascript-typescript,TypeScript,package/src/components/ChannelList/ChannelListLoadingIndicator.tsx,true
/language:javascript-typescript,TypeScript,examples/SampleApp/src/hooks/useStreamChatTheme.ts,true
/language:javascript-typescript,TypeScript,examples/SampleApp/src/icons/Search.tsx,true
/language:javascript-typescript,TypeScript,examples/SampleApp/src/screens/GroupChannelDetailsScreen.tsx,true
/language:javascript-typescript,TypeScript,examples/SampleApp/src/components/UserInfoOverlay.tsx,true
/language:javascript-typescript,TypeScript,package/src/contexts/messageInputContext/MessageInputContext.tsx,true
/language:javascript-typescript,TypeScript,package/src/store/apis/getChannels.ts,true
/language:javascript-typescript,TypeScript,package/src/components/MessageInput/components/InputGiphySearch.tsx,true
/language:javascript-typescript,TypeScript,examples/SampleApp/src/utils/getUserActivityStatus.ts,true
/language:javascript-typescript,TypeScript,package/src/components/KeyboardCompatibleView/KeyboardCompatibleViewFC.tsx,true
/language:javascript-typescript,TypeScript,package/src/icons/HTML.tsx,true
/language:javascript-typescript,TypeScript,examples/SampleApp/App.tsx,true
/language:javascript-typescript,TypeScript,examples/ExpoMessaging/app/_layout.tsx,true
/language:javascript-typescript,TypeScript,package/src/native.ts,true
/language:javascript-typescript,TypeScript,package/src/components/AttachmentPicker/components/AttachmentSelectionBar.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/Thread/Thread.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/AutoCompleteInput/AutoCompleteSuggestionItem.tsx,true
/language:javascript-typescript,TypeScript,package/src/store/apis/getAllChannelIds.ts,true
/language:javascript-typescript,TypeScript,package/src/store/mappers/mapStorableToRead.ts,true
/language:javascript-typescript,TypeScript,package/src/components/AttachmentPicker/components/AttachmentPickerError.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/ChannelPreview/ChannelPreviewTitle.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/MessageInput/SendButton.tsx,true
/language:javascript-typescript,TypeScript,package/src/icons/Notification.tsx,true
/language:javascript-typescript,TypeScript,package/src/icons/Time.tsx,true
/language:javascript-typescript,TypeScript,package/src/store/sqlite-utils/appendWhereCluase.ts,true
/language:javascript-typescript,TypeScript,package/src/components/AttachmentPicker/AttachmentPicker.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/Chat/Chat.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/Indicators/LoadingIndicator.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/MessageList/hooks/useTypingString.ts,true
